Name,Rank,Change,Rating,Wins,Losses,Tournaments,Avg Partner Rating,Avg Opp Rating
LUCAS HOPE,199,36,110.92,30,21,4,110.43,106.41
TAYT ROGERS,200,50,110.84,16,17,4,111.03,112.74
WILL ECKARD,201,59,110.84,20,12,3,105.12,104.69
DALTON GILDER,202,16,110.72,11,16,3,107.74,115.94
DESMOND BENTON,203,50,110.59,7,10,2,119.97,116.2
FREDERIK THEUNIS,204,17,110.51,12,13,2,105.91,112.72
AUSTIN HA,205,5,110.41,12,19,3,111.83,119.25
JOEL LAPP,206,39,110.39,15,18,4,108.55,114.88
CHARLES TIPTON,207,8,110.06,11,15,3,108.49,114.87
ETHAN DOMSTER,208,15,110,17,23,5,114.86,115.7
NATE WILSON,209,1,109.95,21,19,3,115.8,110.43
DANIEL SÁNCHEZ,210,37,109.84,20,9,2,111.4,96.94
BRIAN PERLSON,211,14,109.76,32,42,8,107.16,115.19
JOSEF BEKIRANOV,212,2,109.64,6,13,2,112.36,119.64
RYAN FERNANDEZ,213,18,109.64,12,13,2,107,111.15
JAMES MITCHUM,214,30,109.44,18,20,4,115.65,111.62
CALVIN SMITH,215,22,109.38,22,37,7,108.65,116.97
HAROLD MANCIA,216,22,109.35,16,17,3,106.15,112.68
STEPHEN JONES,217,139,109.32,12,10,2,116.02,105.29
NOLAN WYNKOOP,218,4,109.29,11,18,3,106.88,116.71
DYLAN BRICKER,219,8,109.23,30,40,7,110.22,113.67
DANIEL PATTEN,220,--,109.21,13,19,3,109.46,112.8
MAX FIEBELKORN,221,11,109.21,22,28,5,109.51,113.57
QUINN HUFLER,222,6,109.19,9,17,3,109.99,117.86
MITCH KELLEY,223,2,109.16,23,13,3,108.65,97.48
KARAH HUI,224,2,109.15,8,10,2,116.25,110.7
DUSTIN GRANT,225,172,108.9,12,7,2,97.74,100.67
NICK MESA,226,102,108.83,8,13,2,108.83,115.64
DONALD FUNG,226,102,108.83,8,13,2,108.83,115.64
JAKE GOODNOW,228,11,108.78,10,17,3,105.8,115.54
ARCHIE POWELL,229,29,108.76,9,11,2,111.61,113.47
ARROW GRINER,230,5,108.52,14,30,5,107.05,118.19
CHARLES MORDACQ,231,11,108.48,18,24,4,107.13,112.05
JOHN BUCHANAN,232,28,108.41,18,22,4,108.51,111.23
ROB'S TRAVELER,233,49,108.33,16,24,5,112.27,113.03
ELY MARCIANO,234,1,108.22,17,21,4,106.34,111.15
JARED ANG,235,3,108.2,11,16,3,102.62,117.08
RYAN PARK,236,57,108.19,14,13,2,105.76,106.77
DEREK MCREA,237,21,108.14,12,14,2,112.96,108.68
CHRIS KAPTUR,238,1,107.9,14,18,3,109.21,113
REILLY PAQUETTE,239,47,107.82,12,16,3,106.6,115.22
A.J. MARTIN,240,19,107.78,21,47,8,111.23,119.21
ERIC REINKE,241,5,107.76,5,10,2,102.33,119.42
CONNER BRADSHAW,242,3,107.35,7,12,2,107.93,117.72
NICHOLAS PUOPOLO,243,11,107.33,9,22,4,103.97,121.64
RICKY SANTIAGO,244,28,107.29,33,37,6,110.27,108.99
ALEX HART (ASL),245,21,107.14,31,39,6,107.07,109.69
AIDAN MACKEY,246,16,106.9,12,23,4,107.67,119.04
DYLAN MEDVEAL,247,2,106.9,16,32,5,109.98,115.66
GARRETT BLANCHARD,248,5,106.86,14,11,3,104.36,102.74
CHASE BREMNER,249,8,106.69,19,9,2,102.33,96.54
JAKE BABBITT,250,1,106.58,9,21,3,109.9,119.43
ALEX DALY,251,22,106.44,13,23,4,106.58,115.31
MARLON FLEMING,252,154,106.41,7,9,2,121.61,112.87
CLIFTON MILLER,253,5,106.39,17,40,6,110.94,118.52
MITCHELL CARTER,254,2,106.34,18,28,5,106.74,111.91
MITCHELL WHELAN,255,19,106.22,18,14,3,102.34,101.98
MICAH BOUMAN,256,77,105.72,10,14,3,106.93,111.73
JUSTIN KEHOE,257,32,105.66,24,33,6,108.21,110.78
JAKE HURST,258,78,105.66,11,7,2,106.19,99.33
SAM DIANI,259,52,105.49,19,15,3,104.39,102.8
TUCKER JUDKINS,260,20,105.42,17,30,6,112.78,114.01
JOHN SILVA,261,50,105.41,8,9,2,106.1,107.53
CONNOR REID,262,33,105.4,7,20,3,99.54,118.76
STEPHEN SWEENEY,263,--,105.36,9,13,2,103.66,111.96
BENJAMIN BANUELOS,264,3,105.29,15,28,5,112.2,114.59
GARRETT WALTER,265,3,105.22,13,9,2,97.11,103.56
ALEC GALBO,266,--,105.09,15,26,4,104.22,114.15
JACOB NARAYAN,268,13,105.02,46,25,6,108.26,97.01
DAVID YINGLING,269,192,104.91,14,13,2,102.27,102.95
CALEB WHITE,270,17,104.9,14,22,4,102.42,110.78
WYATT SEMKE,271,5,104.54,26,15,3,102.89,94.05
TIM GASKIN,272,4,104.44,5,16,3,108.34,120.81
ETHAN FERLAND,273,2,104.31,13,8,2,91.67,95.34
JARED ALMON,274,2,104.22,23,19,4,100.16,103.03
