,Name,Rating,Adjusted Rating,Games
1763,aquila lee,99.80880481683843,99.81886772121536,36
2135,bradley smith,99.35959241855763,99.79186753603123,13
1111,alessio giammarinaro,98.28215747346707,99.78526968418338,7
1112,jonathan claxton,98.28215747346707,99.78526968418338,7
2085,john hickmott,98.52243173139837,99.77268180483051,8
734,collin yoder,98.50810797376131,99.77047814980943,8
1432,brandon fung,99.43229363941255,99.76984877273482,15
742,cullen bremner,98.4853243835818,99.7669729820895,8
1726,anton schonberger,99.38578574163164,99.75099421958039,15
2322,romain morel,99.14909653705479,99.75095508401604,12
1304,vincent lavoie,99.21194531433794,99.74388222715984,13
1303,hugo poirier,99.21194531433794,99.74388222715984,13
1836,andrew luque,99.29743401298084,99.74115989951925,14
1837,vince s,99.29743401298084,99.74115989951925,14
1911,sidney mathues,99.61167730029213,99.74111820019475,22
151,ethan westfall,99.73272397140437,99.73272397140437,48
1163,joe hu,98.76431841789496,99.7313735691076,10
1164,joshua james,98.76431841789496,99.7313735691076,10
2141,braxton wheatley,98.7517401973042,99.728639173327,10
2142,cade wallace,98.7517401973042,99.728639173327,10
2355,alex cotter,98.51903801421346,99.7279865740392,9
2356,brady van straten,98.51903801421346,99.7279865740392,9
1989,noah wood,95.17536061105375,99.72430632063164,4
1990,robert mooney,95.17536061105375,99.72430632063164,4
2149,devin perkins,98.88340638411742,99.72085159602935,11
2150,miles egbert,98.88340638411742,99.72085159602935,11
2260,josiah bontrager,97.75669699894846,99.71958712486855,7
1988,ken bailey,95.03527732432687,99.71630156139011,4
543,tripp pierson,98.85814845814356,99.7145371145359,11
2159,cole sanchez,99.56259951511312,99.70839967674209,22
2250,jacob wunschel,94.79008051813263,99.70229031532186,4
1216,mark-elie boucher,98.25339140461259,99.67919433962271,9
1215,jeremie joly,98.25339140461259,99.67919433962271,9
1170,hailee bennett,98.25151888457498,99.67885040737092,9
2167,niviru wijayaratne,98.2239145211198,99.67378021816486,9
1449,joe sullivan,98.49169509711024,99.67210762980658,10
1450,shaunak sinha,98.49169509711024,99.67210762980658,10
2106,remi prince,99.4912106800386,99.66080712002574,22
2105,daniel feller,99.4912106800386,99.66080712002574,22
1844,greg bove,96.44499591259813,99.64449959125982,6
38,mitch kennamore,98.03557967285161,99.63918810317682,9
2122,ben morris,98.72408726624249,99.62656212670512,12
2123,connor larsen,98.72408726624249,99.62656212670512,12
1883,spencer argenna,99.28584553669877,99.6219182253111,18
2255,caleb triplett,95.03185506689704,99.61783500514592,5
2254,aiden davis,95.03185506689704,99.61783500514592,5
1514,micah foster,96.14431682146855,99.61443168214686,6
1513,aiden hathaway,96.14431682146855,99.61443168214686,6
461,matteo molli,99.51530186683158,99.60083683150836,28
529,daniel pierce,98.39966447641282,99.59991611910321,11
530,hunter blair,98.39966447641282,99.59991611910321,11
62,bendix hess,94.76107375922885,99.59700567378684,5
1255,charlie freeman,99.20826841130018,99.58084798245305,18
2367,colin goldberg,97.24200056051247,99.575692393925,8
1908,chris brubaker,98.26865575729651,99.56716393932412,11
2324,vincent benabent,98.26107303857243,99.5652682596431,11
2323,thomas jouve,98.26107303857243,99.5652682596431,11
2248,rico rangel,92.36300431440782,99.56360024653759,4
1058,jordan brandes,99.23404812149549,99.55899740328528,19
1897,logan coffelt,99.13434678401745,99.54171300330336,18
1821,danny gologorsky,97.39116878561047,99.52082691980601,9
2180,marlon fleming,96.7899319290414,99.50614337369868,8
2343,victor augelet,97.30131850873524,99.50432380772689,9
2342,fabien walter,97.30131850873524,99.50432380772689,9
1178,joshua chang,98.6490864792384,99.50229501866679,14
1179,jovan tang,98.6490864792384,99.50229501866679,14
1978,noah henriksen,96.01633143007362,99.5020414287592,7
982,isaiah bergsma,99.4929459481635,99.4929459481635,76
224,aliana nunezberinger,97.66673385958798,99.49276823034522,10
225,john aslanian,97.66673385958798,99.49276823034522,10
2245,gurvansh singh,94.89228505389393,99.48922850538939,6
950,austin seroka,95.87213022547297,99.48401627818411,7
1869,daniel huff,97.17095745635761,99.48037994096364,9
1946,tyr zong,97.59770285791762,99.47776149085166,10
580,john brown,98.12908644302486,99.45241554429997,12
579,adrian castaneda,98.12908644302486,99.45241554429997,12
1999,charlie cavallaro,90.2502420346183,99.44287097340677,4
2000,noah elconin,90.2502420346183,99.44287097340677,4
1352,simon bouchard,97.42574628111257,99.4403796263288,10
1351,alexis hinse,97.42574628111257,99.4403796263288,10
1354,samuel chagnon,98.26289939083796,99.43544230202232,13
1353,jeremy robidoux,98.26289939083796,99.43544230202232,13
1090,will anthony,96.91783042248242,99.43388722045596,9
977,brandon farronato,99.4236544932016,99.4236544932016,53
2133,daniel green,97.27556568692283,99.40773167107018,10
2134,logan grigg,97.27556568692283,99.40773167107018,10
217,nick soillis,94.04291770518633,99.40429177051864,6
216,mikey thompson,94.04291770518633,99.40429177051864,6
513,kavi sadasivan,97.56660840703151,99.39165210175787,11
512,david ferguson,97.56660840703151,99.39165210175787,11
1220,michael boersma,93.9138011362659,99.3913801136266,6
1219,euan feller,93.9138011362659,99.3913801136266,6
92,cooper patcheak,97.55448042668709,99.38862010667177,11
1091,moses hostetler,95.98239601318748,99.38190707895191,8
2036,jake spinelli,97.12743956014462,99.37553033916188,10
1214,robert nelson,97.80937486279592,99.35884142325735,12
1213,jordan verasamy,97.80937486279592,99.35884142325735,12
869,michael pope,93.47113437256314,99.34711343725631,6
2249,amanda wang,88.53697458781969,99.34496997644685,4
574,charlie swaim,95.73711730766075,99.34417189348628,8
575,xander joros,95.73711730766075,99.34417189348628,8
1865,jason lin,88.34949432665942,99.33425681866625,4
1864,conor chickos,88.34949432665942,99.33425681866625,4
2294,marcus landon,97.33430898221097,99.33357724555275,11
1630,henri modenius,97.3204492856771,99.33011232141926,11
2140,curtis lawrence,98.72006438132695,99.32238702540837,18
1017,peter lam,99.31903522643515,99.31903522643515,76
2304,ben dantowitz,95.55826038228136,99.31665544342789,8
1995,david kauffman,88.00329668014456,99.31447409600825,4
1105,tucker pitman,95.48817917650047,99.30587371946162,8
1104,patrick callahan,95.48817917650047,99.30587371946162,8
1385,jeremie chausse,99.15483891066081,99.30398498525008,28
1386,samuel bernard,99.15483891066081,99.30398498525008,28
2038,aidan schaffer,94.41764683953329,99.30220585494166,7
1430,philip cremer,98.89541601192788,99.29708291668138,21
200,sam diani,99.25384217813793,99.2716078405632,41
1797,noah green,94.14985453744812,99.268731817181,7
1796,levi stout,94.14985453744812,99.268731817181,7
235,megan wong,68.839256550791,99.24913871206725,2
1384,samuel shum,98.55809724321308,99.23663971699516,18
1383,antoine dallaire,98.55809724321308,99.23663971699516,18
2185,oliver howard,97.9234622694274,99.23495978347326,14
971,madelyn huffstetler,89.9818447476367,99.22937267289514,5
1537,bel belvedere,96.40333003023213,99.21811522396351,10
1898,kelton raabe,95.69541603501743,99.20936212888076,9
1502,andrew nee,94.85784635425074,99.20889943911551,8
1940,nicholas engel,94.81116901117133,99.20171830941098,8
1939,matthew siegrist,94.81116901117133,99.20171830941098,8
2187,danny affleck,95.58705794328614,99.18945962223623,9
1904,quin houck,93.50446493641668,99.18805811705208,7
546,connor ragland,97.77476157223153,99.1801753160853,14
