Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Pulchritudinous Callipygians,aced and confused,Semi-finals,long-island-classic-2023,"[21, 21]","[16, 16]",Advanced (4.0)
Panda,Gonne Spikin',Semi-finals,long-island-classic-2023,"[21, 21]","[12, 18]",Advanced (4.0)
Pulchritudinous Callipygians,Panda,Final,long-island-classic-2023,"[17, 19]","[21, 21]",Advanced (4.0)
Gonne Spikin',aced and confused,Third Place,long-island-classic-2023,"[13, 17]","[21, 21]",Advanced (4.0)
Hit and Run,Crestwood's Finest,P5: Semi-finals,long-island-classic-2023,"[21, 21]","[0, 0]",Advanced (4.0)
Shanghai Sharks,Jabronis,P5: Semi-finals,long-island-classic-2023,"[21, 1]","[16, 0]",Advanced (4.0)
Hit and Run,Shanghai Sharks,P5: Final,long-island-classic-2023,"[14, 0]","[21, 1]",Advanced (4.0)
Jabronis,Crestwood's Finest,P5: Final,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Advanced (4.0)
Galaticos,The Soaring Riegels,P9: Quarter-finals,long-island-classic-2023,"[0, 0]","[1, 1]",Advanced (4.0)
Will-DUH-beasts,Amateur Hitmen,P9: Quarter-finals,long-island-classic-2023,"[1, 1]","[0, 0]",Advanced (4.0)
East End Boys,Dirty Mike and the Boys,P9: Quarter-finals,long-island-classic-2023,"[0, 0]","[1, 1]",Advanced (4.0)
Loopy Juice,The Soaring Riegels,P9: Semi-finals,long-island-classic-2023,"[15, 15]","[6, 8]",Advanced (4.0)
Will-DUH-beasts,Dirty Mike and the Boys,P9: Semi-finals,long-island-classic-2023,"[19, 0]","[21, 1]",Advanced (4.0)
Loopy Juice,Dirty Mike and the Boys,P9: Final,long-island-classic-2023,"[16, 18]","[21, 21]",Advanced (4.0)
Will-DUH-beasts,The Soaring Riegels,P9: Final,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Advanced (4.0)
East End Boys,Amateur Hitmen,P13: Semi-finals,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Advanced (4.0)
East End Boys,Amateur Hitmen,P13: Semi-finals,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Advanced (4.0)
Fear,Bad Bunnies,Quarter-finals,long-island-classic-2023,"[21, 23]","[19, 21]",Intermediate (3.0)
Tom and Joey,Sean and Logan,Quarter-finals,long-island-classic-2023,"[21, 17, 21]","[8, 21, 18]",Intermediate (3.0)
Dirty Mike and the Boys,Fear,Semi-finals,long-island-classic-2023,"[0, 0]","[1, 1]",Intermediate (3.0)
Amateur Hitmen,Tom and Joey,Semi-finals,long-island-classic-2023,"[1, 1]","[0, 0]",Intermediate (3.0)
Fear,Amateur Hitmen,Final,long-island-classic-2023,"[0, 0]","[1, 1]",Intermediate (3.0)
Tom and Joey,Dirty Mike and the Boys,Third Place,long-island-classic-2023,"[1, 1]","[0, 0]",Intermediate (3.0)
Bad Bunnies,Sean and Logan,P5: Final,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Intermediate (3.0)
Bad Bunnies,Sean and Logan,P5: Final,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Intermediate (3.0)
Jumbo Shrimp,Shear Delight,Quarter-finals,long-island-classic-2023,"[1, 1]","[0, 0]",Mixed / Co-ED Advanced (4.0+)
California Girls,Jumbo Shrimp,Semi-finals,long-island-classic-2023,"[19, 21, 21]","[21, 13, 14]",Mixed / Co-ED Advanced (4.0+)
Lamontagne/Bingham,Avec Dream,Semi-finals,long-island-classic-2023,"[21, 21]","[12, 17]",Mixed / Co-ED Advanced (4.0+)
California Girls,Lamontagne/Bingham,Final,long-island-classic-2023,"[21, 18, 20]","[18, 21, 22]",Mixed / Co-ED Advanced (4.0+)
Avec Dream,Jumbo Shrimp,Third Place,long-island-classic-2023,"[21, 19, 17]","[19, 21, 21]",Mixed / Co-ED Advanced (4.0+)
